City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
309,Tual,ID,84.56,overcast clouds,-5.6667,132.75,Suita
311,Salinopolis,BR,81.1,broken clouds,-0.6136,-47.3561,Hotel Salinópolis
317,Ponta Delgada,PT,70.5,scattered clouds,37.7333,-25.6667,Hotel Talisman
321,Udon Thani,TH,81.9,overcast clouds,17.3333,102.8333,UDtel
322,Victoria,HK,77.38,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
324,Mersing,MY,77.9,scattered clouds,2.4312,103.8405,Mersing Inn Hotel
326,Pakxan,LA,72.27,few clouds,18.3778,103.6601,Meanam hotel
328,Makakilo City,US,75.69,light rain,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
332,Port Blair,IN,79.36,broken clouds,11.6667,92.75,Andaman Ocean Breeze
334,Itarema,BR,79.61,overcast clouds,-2.9248,-39.9167,Pousada Oásis
337,Manacapuru,BR,85.33,heavy intensity rain,-3.2997,-60.6206,Novo Hotel
343,Namatanai,PG,82.78,broken clouds,-3.6667,152.4333,Namatanai Hotel
344,Balikpapan,ID,77.99,light rain,-1.2675,116.8289,Hotel Grand Senyiur
352,Ishigaki,JP,78.4,clear sky,24.3448,124.1572,アートホテル石垣島
356,Barra Dos Coqueiros,BR,80.62,light rain,-10.9089,-37.0386,Grande Hotel
358,Houma,US,79.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
364,Saint-Leu,RE,72.32,overcast clouds,-21.15,55.2833,Iloha Seaview Hôtel
374,Chuy,UY,71.83,clear sky,-33.6971,-53.4616,Alerces
381,Gorontalo,ID,74.17,overcast clouds,0.5412,123.0595,Grand City Hotel
382,Mamallapuram,IN,77.05,overcast clouds,12.6264,80.1722,Radisson Temple Bay
389,Axim,GH,78.64,light rain,4.8699,-2.2405,Axim Beach Hotel
390,Ayorou,NE,78.22,overcast clouds,14.7308,0.9174,Hotel Aminokal
397,Padang,ID,76.95,light rain,-0.9492,100.3543,losmen Surya
401,Harrison,US,75.22,clear sky,30.4091,-89.0436,Residence Inn
405,San Angelo,US,72.54,clear sky,31.4638,-100.437,Hilton Hotel
409,Tambun,ID,77.49,overcast clouds,-6.2641,107.0712,Hotel SM
415,Muisne,EC,75.45,overcast clouds,0.6,-80.0333,Hostal Té de Menta
420,Ambulu,ID,75.56,overcast clouds,-8.345,113.6058,Hotel Ambulu
422,Mahibadhoo,MV,80.02,overcast clouds,3.7833,72.9667,Coral View Inn
424,Fort Walton Beach,US,75.85,clear sky,30.4058,-86.6188,Seabreeze Inn
426,Sao Jose Da Coroa Grande,BR,78.85,scattered clouds,-8.8978,-35.1478,Hotel do Sol
432,Miri,MY,75.9,broken clouds,4.4148,114.0089,Kenyalang Suites Miri
437,Miranda,CO,77.13,light rain,3.2499,-76.2281,Encantos
440,Vila Franca Do Campo,PT,70.2,overcast clouds,37.7167,-25.4333,Vinha d'Areia Beach Hotel
442,Voi,KE,71.51,light rain,-3.3945,38.563,Fine Breeze Hotel
447,Port Macquarie,AU,72.9,clear sky,-31.4333,152.9167,The Observatory
455,Byron Bay,AU,72.95,overcast clouds,-28.65,153.6167,Lord Byron Resort
463,Mazamari,PE,88.11,overcast clouds,-11.3258,-74.5308,Hospedaje El Conquistador
465,Nha Trang,VN,75.2,few clouds,12.25,109.1833,Den Long Đỗ
468,Rio Grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Vila Moura Executivo
469,Tagusao,PH,79.09,scattered clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
471,Maxixe,MZ,73.13,light rain,-23.8597,35.3472,Hotel Herry
476,Mandera,KE,82.26,scattered clouds,3.9366,41.867,Kornesh Hotel and Lodging
477,Balingasay,PH,80.67,scattered clouds,16.3573,119.8564,Ramos Beach Resort
478,Miandrivazo,MG,79.65,few clouds,-19.5167,45.4667,Baobab
479,Salatiga,ID,72.19,overcast clouds,-7.3319,110.4928,Hotel Maya
485,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue
486,Cuamba,MZ,75.79,overcast clouds,-14.8031,36.5372,Pensao Cariaco
492,Penha,BR,71.47,broken clouds,-26.7694,-48.6458,Piçarras
494,Sinnamary,GF,78.01,overcast clouds,5.3833,-52.95,Hôtel du fleuve
496,Benguela,AO,77.63,overcast clouds,-12.5763,13.4055,Hotel Moibela
497,Aden,YE,78.78,few clouds,12.7794,45.0367,فندق قصر الجزيرة
501,Camana,PE,70.11,broken clouds,-16.6228,-72.7111,Caja Arequipa
505,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
506,Quatre Cocos,MU,73.09,overcast clouds,-20.2078,57.7625,Horisun
507,Kantang,TH,74.62,broken clouds,7.4054,99.5156,ธนะอินน์ โฮเต็ล
510,Vanimo,PG,77.88,overcast clouds,-2.6741,141.3028,CBC Guesthouse
513,Natalio,PY,81.57,broken clouds,-26.7167,-55.0833,San Javier
516,Unguia,CO,79.09,overcast clouds,8.0434,-77.0945,Divino Niño
517,Pangkalanbuun,ID,73.45,overcast clouds,-2.6833,111.6167,Hotel Tiara
518,Valdivia,CL,75.29,broken clouds,-39.8142,-73.2459,Esmeralda
521,Pekan,MY,78.96,broken clouds,3.4836,103.3996,Ancasa Royale Hotel
534,Nago,JP,72.03,clear sky,26.5881,127.9761,白浜
536,Chake Chake,TZ,76.8,scattered clouds,-5.2459,39.7666,Annex Pemba Hotel
537,Nishihara,JP,74.48,few clouds,26.1842,127.7558,ユインチホテル南城
539,Hervey Bay,AU,73.89,overcast clouds,-25.2986,152.8535,Hervey Bay Hotel
540,Garowe,SO,73.13,broken clouds,8.4054,48.4845,Red Sea
553,Honiara,SB,81.66,light rain,-9.4333,159.95,King Solomon Hotel
554,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
573,Kalmunai,LK,77.59,overcast clouds,7.4167,81.8167,Saji new food
579,Abu Dhabi,AE,77.02,clear sky,24.4667,54.3667,Marriott Downtown Abu-Dhabi
589,Dawei,MM,74.5,broken clouds,14.0833,98.2,Royal Dawei ဟိုတယ်
595,Mackay,AU,79.68,light rain,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
600,Nizwa,OM,70.66,clear sky,22.9333,57.5333,Nizwa Heritage Inn
615,Kigoma,TZ,73.27,broken clouds,-4.8769,29.6267,sunset vista hotel
