City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Lebu,CL,-37.6167,-73.65,61.59,76,8,15.82,clear sky
126,Rawson,AR,-43.3002,-65.1023,76.73,54,71,19.53,light rain
127,Adre,TD,13.4667,22.2,71.19,27,6,7.09,clear sky
128,Palasa,IN,18.7667,84.4167,66.34,61,6,3.98,clear sky
129,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,40,19.57,scattered clouds
130,Kavieng,PG,-2.5744,150.7967,82.94,65,21,4.38,few clouds
131,Balaguer,ES,41.7912,0.8109,50.16,77,0,3.31,clear sky
132,Port Hardy,CA,50.6996,-127.4199,37.58,75,75,4.61,broken clouds
133,Kamenka,RU,51.3223,42.7678,23.7,60,27,9.06,scattered clouds
134,Vaini,TO,-21.2,-175.2,82.56,78,20,10.36,few clouds
135,Korla,CN,41.7597,86.1469,14.74,33,41,20.62,scattered clouds
136,Sarangani,PH,5.4033,125.4636,83.3,73,100,19.26,overcast clouds
137,Fairbanks,US,64.8378,-147.7164,-7.02,85,11,2.44,few clouds
138,Constitucion,CL,-35.3333,-72.4167,64.06,72,10,8.1,clear sky
139,Macusani,PE,-14.0833,-70.4333,42.71,78,86,12.06,overcast clouds
140,La Ronge,CA,55.1001,-105.2842,19.62,79,100,12.66,light snow
141,Thompson,CA,55.7435,-97.8558,19.56,86,100,17.27,light snow
142,Tindivanam,IN,12.25,79.65,72.52,86,46,4.56,scattered clouds
143,Tucson,US,32.2217,-110.9265,74.86,15,91,5.99,overcast clouds
144,Suntar,RU,62.1444,117.6319,-26.5,98,40,3.78,scattered clouds
145,Khatanga,RU,71.9667,102.5,-13.07,98,100,7.16,overcast clouds
146,Bambanglipuro,ID,-7.95,110.2833,76.59,87,100,0.11,light rain
147,Barrhead,GB,55.7992,-4.3929,40.82,97,6,1.14,fog
148,Requena,ES,39.4883,-1.1004,47.79,62,34,6.51,scattered clouds
149,Leh,IN,34.1667,77.5833,13.44,49,0,1.95,clear sky
150,Banyo,CM,6.75,11.8167,67.93,40,15,3.33,few clouds
151,Alice Springs,AU,-23.7,133.8833,58.55,72,0,5.75,clear sky
152,Bredasdorp,ZA,-34.5322,20.0403,64.49,89,65,6.44,broken clouds
153,Daru,PG,-9.0763,143.2092,76.53,93,100,9.28,overcast clouds
154,Ahipara,NZ,-35.1667,173.1667,64.35,68,99,9.04,overcast clouds
155,Kysyl-Syr,RU,63.8986,122.7617,-37.53,100,90,3.6,overcast clouds
156,Perelyub,RU,51.8667,50.3667,17.46,76,3,10.36,clear sky
157,Palana,RU,59.1167,159.9667,21.31,95,100,5.12,snow
158,Aksay,RU,47.26,39.87,36.25,55,35,11.01,scattered clouds
159,Egvekinot,RU,66.3167,-179.1667,7.38,86,60,3.56,broken clouds
160,Castro,BR,-24.7911,-50.0119,60.33,96,100,9.66,overcast clouds
161,Severo-Kurilsk,RU,50.6789,156.125,30.58,70,94,26.91,light snow
162,Kulhudhuffushi,MV,6.6221,73.07,80.1,72,100,1.01,overcast clouds
163,Esperance,AU,-33.8667,121.9,53.11,85,0,10.49,clear sky
164,Tazovskiy,RU,67.4667,78.7,9.97,95,100,6.87,light snow
165,Lodja,CD,-3.4833,23.4333,69.69,99,96,0.72,overcast clouds
166,Ponta Do Sol,PT,32.6667,-17.1,69.01,76,54,7.31,broken clouds
167,Neiafu,TO,-18.65,-173.9833,80.08,72,92,18.92,overcast clouds
168,Kahului,US,20.8947,-156.47,77.85,85,100,4.0,overcast clouds
169,Chokurdakh,RU,70.6333,147.9167,-37.01,100,99,3.49,overcast clouds
170,Haines Junction,CA,60.7522,-137.5108,0.14,89,78,3.8,broken clouds
171,Brae,GB,60.3964,-1.353,47.16,84,14,10.83,few clouds
172,Clyde River,CA,70.4692,-68.5914,-13.97,96,98,9.13,overcast clouds
173,Carnduff,CA,49.1667,-101.8009,20.37,75,100,22.46,overcast clouds
174,Norwood,US,42.1945,-71.1995,50.09,61,19,14.0,few clouds
175,Mattoon,US,39.4831,-88.3728,44.67,67,100,8.66,overcast clouds
176,College,US,64.8569,-147.8028,-7.02,85,11,2.55,few clouds
177,Lasa,IT,46.6166,10.7002,38.35,97,100,1.45,overcast clouds
178,Canoinhas,BR,-26.1772,-50.39,60.57,94,100,5.84,overcast clouds
179,Sidhi,IN,24.4167,81.8833,58.53,52,0,0.98,clear sky
180,Ewa Beach,US,21.3156,-158.0072,77.09,82,100,5.99,light rain
181,San Quintin,MX,30.4833,-115.95,63.12,69,13,11.5,few clouds
182,Hongjiang,CN,27.11,109.9956,55.87,93,100,6.6,overcast clouds
183,Saint-Philippe,RE,-21.3585,55.7679,71.19,76,78,5.37,broken clouds
184,San Cristobal,VE,7.7669,-72.225,74.75,76,100,1.57,overcast clouds
185,Inuvik,CA,68.3499,-133.7218,-14.04,76,20,0.0,few clouds
186,Takoradi,GH,4.8845,-1.7554,78.66,82,55,7.11,light rain
187,Yulara,AU,-25.2406,130.9889,67.82,34,0,13.4,clear sky
188,Podor,MR,16.6527,-14.9587,81.19,14,88,10.65,overcast clouds
189,Kaitangata,NZ,-46.2817,169.8464,55.35,76,100,3.69,overcast clouds
190,Vila Velha,BR,-20.3297,-40.2925,75.15,83,75,10.36,moderate rain
191,Utica,US,43.1009,-75.2327,39.4,90,100,1.99,overcast clouds
192,Teguldet,RU,57.3064,88.1667,-5.82,92,94,7.0,overcast clouds
193,Yar-Sale,RU,66.8333,70.8333,12.52,96,100,5.1,light snow
194,San Policarpo,PH,12.1791,125.5072,82.11,83,85,12.84,overcast clouds
195,Ladario,BR,-19.0047,-57.6017,98.31,20,34,5.35,scattered clouds
196,Maddarulug,PH,17.6167,121.6808,73.33,88,12,2.39,few clouds
197,Matara,LK,5.9485,80.5353,75.96,89,98,2.3,overcast clouds
198,Saskylakh,RU,71.9167,114.0833,-19.01,95,100,4.65,overcast clouds
199,Guarapari,BR,-20.6667,-40.4975,73.06,95,100,12.66,moderate rain
200,Cayenne,GF,4.9333,-52.3333,80.64,78,0,5.75,clear sky
201,Skjervoy,NO,70.0311,20.9714,30.2,66,100,9.57,overcast clouds
202,Preetz,DE,54.2333,10.2833,39.22,98,100,8.05,light rain
203,Soligalich,RU,59.0778,42.2864,9.81,97,100,2.84,overcast clouds
204,Olafsvik,IS,64.8945,-23.7142,41.34,73,75,14.03,broken clouds
205,Pontianak,ID,-0.0333,109.3333,73.38,100,75,1.14,mist
206,Krasnoselkup,RU,65.7,82.4667,-3.82,94,100,9.15,overcast clouds
207,Sepolno Krajenskie,PL,53.452,17.5317,35.08,94,10,10.09,clear sky
208,Agropoli,IT,40.3469,14.9966,53.1,72,100,5.03,overcast clouds
209,Michigan City,US,41.7075,-86.895,45.12,64,40,4.61,scattered clouds
210,Hithadhoo,MV,-0.6,73.0833,80.62,76,28,7.85,scattered clouds
211,Pauini,BR,-7.7136,-66.9764,88.21,54,91,3.65,overcast clouds
212,Bethel,US,41.3712,-73.414,49.89,63,52,1.01,broken clouds
213,Banswada,IN,18.3833,77.8833,62.94,50,1,3.0,clear sky
214,Batemans Bay,AU,-35.7167,150.1833,59.09,77,31,4.43,scattered clouds
215,Porto Novo,BJ,6.4965,2.6036,79.65,79,7,6.78,clear sky
216,Saint George,US,37.1041,-113.5841,53.44,33,0,4.61,clear sky
217,Pangnirtung,CA,66.1451,-65.7125,6.62,89,100,2.46,overcast clouds
218,Yerbogachen,RU,61.2767,108.0108,-13.47,100,100,1.9,overcast clouds
219,Paracatu,BR,-17.2222,-46.8747,78.46,62,58,1.83,heavy intensity rain
220,Gizo,SB,-8.103,156.8419,82.51,76,100,8.03,light rain
221,Olga,RU,43.7444,135.2892,30.47,94,100,7.9,light snow
222,Coahuayana,MX,18.7333,-103.6833,86.27,56,9,5.91,clear sky
223,Verkhoyansk,RU,67.5447,133.385,-46.39,100,67,1.28,broken clouds
224,Talnakh,RU,69.4865,88.3972,-4.0,98,100,7.83,overcast clouds
225,Carutapera,BR,-1.195,-46.02,80.02,75,51,7.16,broken clouds
226,Butaritari,KI,3.0707,172.7902,80.92,76,32,8.32,scattered clouds
227,Narsaq,GL,60.9167,-46.05,44.82,86,100,5.91,overcast clouds
228,Inhambane,MZ,-23.865,35.3833,73.87,81,100,15.1,light rain
229,Fortuna,US,40.5982,-124.1573,51.66,85,100,12.66,overcast clouds
230,Mercedes,AR,-34.6515,-59.4307,92.03,19,28,13.06,scattered clouds
231,San Joaquin,US,37.9333,-121.3011,64.53,45,0,17.27,clear sky
232,Comodoro Rivadavia,AR,-45.8667,-67.5,87.66,20,0,12.66,clear sky
233,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.9,90,80,15.7,broken clouds
234,Huarmey,PE,-10.0681,-78.1522,70.5,75,32,7.14,scattered clouds
235,Sitka,US,57.0531,-135.33,31.17,53,42,5.19,scattered clouds
236,Fare,PF,-16.7,-151.0167,78.48,75,39,10.71,scattered clouds
237,Turinskaya Sloboda,RU,57.6232,64.3858,-1.32,90,11,5.12,few clouds
238,Santiago De Cuba,CU,20.0247,-75.8219,82.6,67,10,4.34,clear sky
239,Hami,CN,42.8,93.45,6.84,26,0,0.83,clear sky
240,Mount Isa,AU,-20.7333,139.5,74.97,43,100,8.05,overcast clouds
241,Provideniya,RU,64.3833,-173.3,24.91,68,40,15.66,scattered clouds
