City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Coxim,BR,2022-11-26 14:57:00,-18.5067,-54.76,97.18,21,9,6.62
165,Vetluga,RU,2022-11-26 14:57:00,57.8557,45.781,9.68,97,61,4.61
166,Sao Joao Da Barra,BR,2022-11-26 14:57:00,-21.6403,-41.0511,82.49,86,100,12.24
167,Bardiyah,LY,2022-11-26 14:57:01,31.7561,25.0865,64.49,59,100,7.76
168,Pevek,RU,2022-11-26 14:57:01,69.7008,170.3133,-17.3,98,95,5.86
169,Westport,US,2022-11-26 14:55:33,41.1415,-73.3579,48.88,56,6,5.01
170,Nemuro,JP,2022-11-26 14:57:02,43.3236,145.575,47.7,68,100,14.85
171,Fairbanks,US,2022-11-26 14:52:58,64.8378,-147.7164,17.56,89,100,0.0
172,Grong,NO,2022-11-26 14:57:03,64.4654,12.3149,34.88,93,28,4.68
173,Moberly,US,2022-11-26 14:57:03,39.4184,-92.4382,39.92,77,0,8.05
174,Uberlandia,BR,2022-11-26 14:57:04,-18.9186,-48.2772,78.01,57,40,8.05
175,Hofn,IS,2022-11-26 14:57:04,64.2539,-15.2082,42.03,90,100,14.18
176,Huntington Beach,US,2022-11-26 14:52:44,33.6603,-117.9992,61.41,43,0,0.0
177,Sangar,RU,2022-11-26 14:57:05,63.9242,127.4739,-40.52,99,47,1.28
178,Gambela,ET,2022-11-26 14:57:05,8.25,34.5833,86.07,40,42,3.29
179,Alofi,NU,2022-11-26 14:57:05,-19.0595,-169.9187,69.69,94,1,1.14
180,Marsabit,KE,2022-11-26 14:58:06,2.3284,37.9899,71.19,56,100,12.8
181,Plettenberg Bay,ZA,2022-11-26 14:58:06,-34.0527,23.3716,65.16,60,6,7.0
182,Sioux Lookout,CA,2022-11-26 14:58:07,50.1001,-91.917,33.87,86,100,5.75
183,Ardesen,TR,2022-11-26 14:58:07,41.1911,40.9875,54.72,89,100,12.73
184,Tchaourou,BJ,2022-11-26 14:58:07,8.8865,2.5975,95.36,16,61,3.69
185,Port Hardy,CA,2022-11-26 14:58:08,50.6996,-127.4199,42.98,100,100,3.44
186,Puerto Colombia,CO,2022-11-26 14:58:08,10.9878,-74.9547,82.49,72,76,4.25
187,Chatham,GB,2022-11-26 14:55:57,51.3789,0.5279,54.88,63,100,5.99
188,Shushtar,IR,2022-11-26 14:58:09,32.0455,48.8567,74.98,41,40,3.91
189,Avera,US,2022-11-26 14:58:09,33.194,-82.5271,55.38,57,7,9.37
190,Chuy,UY,2022-11-26 14:58:10,-33.6971,-53.4616,78.57,46,0,11.03
191,San Patricio,US,2022-11-26 14:58:10,28.017,-97.5169,57.07,73,69,16.42
192,Iranshahr,IR,2022-11-26 14:58:11,27.2025,60.6848,77.34,20,0,4.61
193,Novoagansk,RU,2022-11-26 14:58:11,61.9449,76.6625,-7.06,97,82,9.08
194,Selty,RU,2022-11-26 14:58:12,57.3132,52.1345,20.97,95,100,7.54
195,Korla,CN,2022-11-26 14:58:12,41.7597,86.1469,38.88,34,69,3.11
196,Kestel,TR,2022-11-26 14:58:13,40.1983,29.2124,45.88,76,94,4.74
197,Chokurdakh,RU,2022-11-26 14:58:13,70.6333,147.9167,-42.11,100,94,2.8
198,Buenavista,PH,2022-11-26 14:58:13,8.9769,125.4089,74.84,86,59,4.99
199,Sarkand,KZ,2022-11-26 14:58:14,45.41,79.9186,-0.76,94,100,1.95
200,Castro,BR,2022-11-26 14:58:14,-24.7911,-50.0119,65.93,78,88,8.52
201,Tucuma,BR,2022-11-26 14:58:15,-0.1833,-50.05,90.34,49,46,7.74
202,Sinop,TR,2022-11-26 14:58:15,41.7711,34.8709,44.49,91,100,4.27
203,Lagoa,PT,2022-11-26 14:58:16,39.05,-27.9833,60.8,56,100,13.91
204,Coquimbo,CL,2022-11-26 14:58:16,-29.9533,-71.3436,60.53,88,100,6.91
205,Zhigansk,RU,2022-11-26 14:58:16,66.7697,123.3711,-36.31,98,95,7.72
206,Genhe,CN,2022-11-26 14:58:17,50.7833,121.5167,-16.73,100,99,1.32
207,Eureka,US,2022-11-26 14:58:17,40.8021,-124.1637,47.59,94,70,1.01
208,Omboue,GA,2022-11-26 14:58:18,-1.5746,9.2618,77.7,83,96,5.59
209,Kahului,US,2022-11-26 14:55:36,20.8947,-156.47,69.84,91,100,5.75
210,Esperance,AU,2022-11-26 14:58:18,-33.8667,121.9,59.72,63,99,13.11
211,Puerto Madero,MX,2022-11-26 14:58:19,14.7208,-92.4215,79.45,77,97,3.42
212,Swan Hill,AU,2022-11-26 14:58:19,-35.3378,143.5544,66.47,61,100,7.99
213,Baruun-Urt,MN,2022-11-26 14:58:20,46.6806,113.2792,12.65,72,100,5.28
214,Tual,ID,2022-11-26 14:58:20,-5.6667,132.75,84.36,71,51,9.22
215,Alta Floresta,BR,2022-11-26 14:58:21,-9.8756,-56.0861,80.42,83,75,2.3
216,New Norfolk,AU,2022-11-26 14:58:21,-42.7826,147.0587,56.7,66,97,3.0
217,Naze,JP,2022-11-26 14:58:22,28.3667,129.4833,67.12,69,72,15.48
218,Wexford,IE,2022-11-26 14:58:22,52.3342,-6.4575,55.62,100,100,15.01
219,Burnie,AU,2022-11-26 14:58:23,-41.0667,145.9167,57.94,96,88,13.67
